 | 125  | Pikachu            |  1.30785% | 13046  |  1.308% | 9260   |  1.483% | 
 | 126  | Electivire         |  1.30755% | 13043  |  1.308% | 8475   |  1.358% | 
 | 127  | Alakazam           |  1.28760% | 12844  |  1.288% | 7985   |  1.279% | 
 | 128  | Pheromosa          |  1.28590% | 12827  |  1.286% | 8203   |  1.314% | 
 | 129  | Klefki             |  1.28078% | 12776  |  1.281% | 7953   |  1.274% | 
 | 130  | Lucario            |  1.27898% | 12758  |  1.279% | 8443   |  1.353% | 
 | 131  | Dugtrio            |  1.26595% | 12628  |  1.266% | 8942   |  1.432% | 
 | 132  | Incineroar         |  1.25492% | 12518  |  1.255% | 8789   |  1.408% | 
 | 133  | Noivern            |  1.24479% | 12417  |  1.245% | 7995   |  1.281% | 
 | 134  | Wobbuffet          |  1.23958% | 12365  |  1.240% | 6546   |  1.049% | 
 | 135  | Blacephalon        |  1.23206% | 12290  |  1.232% | 7708   |  1.235% | 
 | 136  | Muk-Alola          |  1.22374% | 12207  |  1.224% | 8016   |  1.284% | 
 | 137  | Arceus-Ghost       |  1.22033% | 12173  |  1.220% | 7425   |  1.189% | 
 | 138  | Kyurem-White       |  1.21773% | 12147  |  1.218% | 7203   |  1.154% | 
 | 139  | Diancie-Mega       |  1.21382% | 12108  |  1.214% | 8665   |  1.388% | 
 | 140  | Lapras             |  1.20921% | 12062  |  1.209% | 7772   |  1.245% | 
 | 141  | Empoleon           |  1.20620% | 12032  |  1.206% | 8206   |  1.315% | 
 | 142  | Flygon             |  1.19898% | 11960  |  1.199% | 7535   |  1.207% | 
 | 143  | Hoopa-Unbound      |  1.18785% | 11849  |  1.188% | 7327   |  1.174% | 
 | 144  | Mawile-Mega        |  1.18124% | 11783  |  1.181% | 7793   |  1.248% | 
 | 145  | Lunala             |  1.17743% | 11745  |  1.177% | 7229   |  1.158% | 
 | 146  | Magearna           |  1.17612% | 11732  |  1.176% | 7565   |  1.212% | 
 | 147  | Kyogre             |  1.17001% | 11671  |  1.170% | 7391   |  1.184% | 
 | 148  | Heatran            |  1.15367% | 11508  |  1.154% | 8014   |  1.284% | 
 | 149  | Tapu Lele          |  1.12841% | 11256  |  1.128% | 7338   |  1.176% | 
 | 150  | Malamar            |  1.11908% | 11163  |  1.119% | 7218   |  1.156% | 
 | 151  | Arceus-Dark        |  1.11267% | 11099  |  1.113% | 7587   |  1.215% | 
 | 152  | Lycanroc-Dusk      |  1.10154% | 10988  |  1.102% | 7432   |  1.191% | 
 | 153  | Venusaur           |  1.08881% | 10861  |  1.089% | 6806   |  1.090% | 
 | 154  | Victini            |  1.08570% | 10830  |  1.086% | 6214   |  0.995% | 
 | 155  | Kyurem-Black       |  1.08430% | 10816  |  1.084% | 6702   |  1.074% | 
 | 156  | Xurkitree          |  1.07738% | 10747  |  1.077% | 6855   |  1.098% | 
 | 157  | Machamp            |  1.07648% | 10738  |  1.076% | 7175   |  1.149% | 
 | 158  | Primarina          |  1.07597% | 10733  |  1.076% | 6921   |  1.109% | 
 | 159  | Deoxys-Defense     |  1.07026% | 10676  |  1.070% | 7163   |  1.147% | 
 | 160  | Mamoswine          |  1.06625% | 10636  |  1.066% | 6232   |  0.998% | 
 | 161  | Ambipom            |  1.05993% | 10573  |  1.060% | 7126   |  1.142% | 
 | 162  | Gastrodon          |  1.04680% | 10442  |  1.047% | 7012   |  1.123% | 
 | 163  | Durant             |  1.03357% | 10310  |  1.034% | 7009   |  1.123% | 
 | 164  | Swampert           |  1.02004% | 10175  |  1.020% | 7042   |  1.128% | 
 | 165  | Typhlosion         |  1.01252% | 10100  |  1.013% | 6769   |  1.084% | 
 | 166  | Blastoise-Mega     |  1.01101% | 10085  |  1.011% | 6793   |  1.088% | 
 | 167  | Zekrom             |  1.00440% | 10019  |  1.004% | 6195   |  0.992% | 
 | 168  | Sigilyph           |  0.99157% | 9891   |  0.992% | 5279   |  0.846% | 
 | 169  | Cottonee           |  0.98866% | 9862   |  0.989% | 5932   |  0.950% | 
 | 170  | Roserade           |  0.98385% | 9814   |  0.984% | 6538   |  1.047% | 
 | 171  | Heracross-Mega     |  0.96350% | 9611   |  0.963% | 6056   |  0.970% | 
 | 172  | Cinccino           |  0.95908% | 9567   |  0.959% | 5892   |  0.944% | 
 | 173  | Starmie            |  0.95487% | 9525   |  0.955% | 6017   |  0.964% | 
 | 174  | Feraligatr         |  0.95297% | 9506   |  0.953% | 6221   |  0.997% | 
 | 175  | Sceptile           |  0.93432% | 9320   |  0.934% | 5926   |  0.949% | 
 | 176  | Magnemite          |  0.91828% | 9160   |  0.918% | 3986   |  0.639% | 
 | 177  | Raichu-Alola       |  0.90906% | 9068   |  0.909% | 5808   |  0.930% | 
 | 178  | Palkia             |  0.90465% | 9024   |  0.905% | 5552   |  0.889% | 
 | 179  | Aggron-Mega        |  0.90415% | 9019   |  0.904% | 6316   |  1.012% | 
 | 180  | Charizard          |  0.90415% | 9019   |  0.904% | 5960   |  0.955% | 
 | 181  | Altaria-Mega       |  0.90264% | 9004   |  0.903% | 5544   |  0.888% | 
