 | 93   | Murkrow            |  0.60663% | 2293   |  0.607% | 826    |  0.461% | 
 | 94   | Kingdra            |  0.60134% | 2273   |  0.601% | 984    |  0.550% | 
 | 95   | Greninja           |  0.60002% | 2268   |  0.600% | 1032   |  0.576% | 
 | 96   | Politoed           |  0.58758% | 2221   |  0.588% | 696    |  0.389% | 
 | 97   | Lapras             |  0.56986% | 2154   |  0.570% | 778    |  0.435% | 
 | 98   | Terrakion          |  0.56695% | 2143   |  0.567% | 917    |  0.512% | 
 | 99   | Pelipper           |  0.56060% | 2119   |  0.561% | 670    |  0.374% | 
 | 100  | Kyurem-Black       |  0.55954% | 2115   |  0.560% | 1228   |  0.686% | 
 | 101  | Xurkitree          |  0.54949% | 2077   |  0.549% | 915    |  0.511% | 
 | 102  | Gyarados           |  0.54208% | 2049   |  0.542% | 704    |  0.393% | 
 | 103  | Raichu-Alola       |  0.52991% | 2003   |  0.530% | 1001   |  0.559% | 
 | 104  | Hydreigon          |  0.48335% | 1827   |  0.483% | 696    |  0.389% | 
 | 105  | Garchomp           |  0.45557% | 1722   |  0.456% | 717    |  0.400% | 
 | 106  | Giratina           |  0.44578% | 1685   |  0.446% | 845    |  0.472% | 
 | 107  | Lurantis           |  0.43864% | 1658   |  0.439% | 965    |  0.539% | 
 | 108  | Rotom-Heat         |  0.42859% | 1620   |  0.429% | 671    |  0.375% | 
 | 109  | Staraptor          |  0.39843% | 1506   |  0.398% | 705    |  0.394% | 
 | 110  | Blacephalon        |  0.39393% | 1489   |  0.394% | 595    |  0.332% | 
 | 111  | Hariyama           |  0.39366% | 1488   |  0.394% | 620    |  0.346% | 
 | 112  | Conkeldurr         |  0.39234% | 1483   |  0.392% | 607    |  0.339% | 
 | 113  | Breloom            |  0.37594% | 1421   |  0.376% | 653    |  0.365% | 
 | 114  | Azumarill          |  0.36615% | 1384   |  0.366% | 521    |  0.291% | 
 | 115  | Parasect           |  0.35927% | 1358   |  0.359% | 555    |  0.310% | 
 | 116  | Serperior          |  0.35874% | 1356   |  0.359% | 528    |  0.295% | 
 | 117  | Nidoqueen          |  0.35715% | 1350   |  0.357% | 634    |  0.354% | 
 | 118  | Excadrill          |  0.34419% | 1301   |  0.344% | 611    |  0.341% | 
 | 119  | Nidoking           |  0.33255% | 1257   |  0.333% | 543    |  0.303% | 
 | 120  | Ninetales          |  0.32250% | 1219   |  0.322% | 517    |  0.289% | 
 | 121  | Braviary           |  0.32170% | 1216   |  0.322% | 411    |  0.230% | 
 | 122  | Shiftry            |  0.31403% | 1187   |  0.314% | 689    |  0.385% | 
 | 123  | Drampa             |  0.30874% | 1167   |  0.309% | 454    |  0.254% | 
 | 124  | Lucario            |  0.30530% | 1154   |  0.305% | 424    |  0.237% | 
 | 125  | Hawlucha           |  0.30213% | 1142   |  0.302% | 556    |  0.311% | 
 | 126  | Empoleon           |  0.28705% | 1085   |  0.287% | 404    |  0.226% | 
 | 127  | Araquanid-Totem    |  0.28652% | 1083   |  0.287% | 502    |  0.280% | 
 | 128  | Aerodactyl         |  0.28599% | 1081   |  0.286% | 427    |  0.238% | 
 | 129  | Moltres            |  0.28572% | 1080   |  0.286% | 393    |  0.220% | 
 | 130  | Sylveon            |  0.28546% | 1079   |  0.285% | 348    |  0.194% | 
 | 131  | Magnezone          |  0.28414% | 1074   |  0.284% | 473    |  0.264% | 
 | 132  | Shedinja           |  0.27805% | 1051   |  0.278% | 422    |  0.236% | 
 | 133  | Malamar            |  0.27779% | 1050   |  0.278% | 448    |  0.250% | 
 | 134  | Jumpluff           |  0.27699% | 1047   |  0.277% | 450    |  0.251% | 
 | 135  | Cradily            |  0.27250% | 1030   |  0.272% | 397    |  0.222% | 
 | 136  | Krookodile         |  0.27117% | 1025   |  0.271% | 426    |  0.238% | 
 | 137  | Qwilfish           |  0.27064% | 1023   |  0.271% | 505    |  0.282% | 
 | 138  | Mienshao           |  0.26324% | 995    |  0.263% | 440    |  0.246% | 
 | 139  | Clefable           |  0.26085% | 986    |  0.261% | 349    |  0.195% | 
 | 140  | Goodra             |  0.25345% | 958    |  0.253% | 508    |  0.284% | 
 | 141  | Dhelmise           |  0.25345% | 958    |  0.253% | 435    |  0.243% | 
 | 142  | Chansey            |  0.24736% | 935    |  0.247% | 357    |  0.199% | 
 | 143  | Cherrim            |  0.24313% | 919    |  0.243% | 506    |  0.283% | 
 | 144  | Heliolisk          |  0.23943% | 905    |  0.239% | 369    |  0.206% | 
 | 145  | Toxapex            |  0.23519% | 889    |  0.235% | 348    |  0.194% | 
 | 146  | Mantine            |  0.22620% | 855    |  0.226% | 286    |  0.160% | 
 | 147  | Dusclops           |  0.22567% | 853    |  0.226% | 330    |  0.184% | 
 | 148  | Klefki             |  0.21879% | 827    |  0.219% | 318    |  0.178% | 
 | 149  | Charizard          |  0.21456% | 811    |  0.215% | 405    |  0.226% | 
 | 150  | Mandibuzz          |  0.21059% | 796    |  0.211% | 248    |  0.139% | 
 | 151  | Dragonite          |  0.20688% | 782    |  0.207% | 335    |  0.187% | 
 | 152  | Primarina          |  0.20239% | 765    |  0.202% | 312    |  0.174% | 
 | 153  | Vikavolt           |  0.20054% | 758    |  0.201% | 355    |  0.198% | 
 | 154  | Chandelure         |  0.19657% | 743    |  0.197% | 258    |  0.144% | 
 | 155  | Buzzwole           |  0.19630% | 742    |  0.196% | 297    |  0.166% | 
 | 156  | Swampert           |  0.19181% | 725    |  0.192% | 272    |  0.152% | 
 | 157  | Illumise           |  0.18651% | 705    |  0.187% | 324    |  0.181% | 
 | 158  | Jellicent          |  0.18651% | 705    |  0.187% | 205    |  0.114% | 
 | 159  | Virizion           |  0.18281% | 691    |  0.183% | 272    |  0.152% | 
 | 160  | Ribombee           |  0.18281% | 691    |  0.183% | 281    |  0.157% | 
 | 161  | Sceptile           |  0.17858% | 675    |  0.179% | 266    |  0.149% | 
 | 162  | Pachirisu          |  0.17540% | 663    |  0.175% | 196    |  0.109% | 
 | 163  | Latios             |  0.16747% | 633    |  0.167% | 191    |  0.107% | 
 | 164  | Raikou             |  0.16588% | 627    |  0.166% | 224    |  0.125% | 
 | 165  | Pikachu            |  0.16535% | 625    |  0.165% | 253    |  0.141% | 
 | 166  | Gigalith           |  0.16482% | 623    |  0.165% | 250    |  0.140% | 
 | 167  | Entei              |  0.16112% | 609    |  0.161% | 232    |  0.130% | 
 | 168  | Landorus           |  0.15688% | 593    |  0.157% | 231    |  0.129% | 
 | 169  | Riolu              |  0.15424% | 583    |  0.154% | 200    |  0.112% | 
 | 170  | Tornadus-Therian   |  0.15027% | 568    |  0.150% | 235    |  0.131% | 
 | 171  | Floatzel           |  0.15000% | 567    |  0.150% | 325    |  0.182% | 
 | 172  | Darmanitan         |  0.14286% | 540    |  0.143% | 293    |  0.164% | 
 | 173  | Comfey             |  0.14127% | 534    |  0.141% | 192    |  0.107% | 
 | 174  | Escavalier         |  0.13995% | 529    |  0.140% | 281    |  0.157% | 
 | 175  | Lanturn            |  0.13889% | 525    |  0.139% | 184    |  0.103% | 
 | 176  | Victreebel         |  0.13043% | 493    |  0.130% | 289    |  0.161% | 
 | 177  | Manectric          |  0.13016% | 492    |  0.130% | 194    |  0.108% | 
 | 178  | Musharna           |  0.12752% | 482    |  0.128% | 198    |  0.111% | 
 | 179  | Kabutops           |  0.12646% | 478    |  0.126% | 239    |  0.133% | 
 | 180  | Rotom-Mow          |  0.12593% | 476    |  0.126% | 163    |  0.091% | 
 | 181  | Exeggutor          |  0.12567% | 475    |  0.126% | 270    |  0.151% | 
 | 182  | Scolipede          |  0.12328% | 466    |  0.123% | 199    |  0.111% | 
 | 183  | Trevenant          |  0.12249% | 463    |  0.122% | 141    |  0.079% | 
 | 184  | Rhyperior          |  0.11799% | 446    |  0.118% | 182    |  0.102% | 
