 | 110  | Goodra             |  0.97461% | 61252  |  1.472% | 45232  |  1.427% | 
 | 111  | Espeon             |  0.96837% | 65226  |  1.567% | 47615  |  1.502% | 
 | 112  | Thundurus          |  0.93337% | 35240  |  0.847% | 26636  |  0.840% | 
 | 113  | Blissey            |  0.92522% | 53435  |  1.284% | 39664  |  1.251% | 
 | 114  | Suicune            |  0.88678% | 37966  |  0.912% | 28558  |  0.901% | 
 | 115  | Alakazam           |  0.87589% | 49268  |  1.184% | 32285  |  1.018% | 
 | 116  | Azelf              |  0.86369% | 34283  |  0.824% | 30911  |  0.975% | 
 | 117  | Umbreon            |  0.84033% | 62261  |  1.496% | 43466  |  1.371% | 
 | 118  | Darmanitan         |  0.82399% | 44053  |  1.058% | 33701  |  1.063% | 
 | 119  | Porygon2           |  0.78798% | 40478  |  0.973% | 30897  |  0.975% | 
 | 120  | Uxie               |  0.78186% | 25880  |  0.622% | 24193  |  0.763% | 
 | 121  | Milotic            |  0.77858% | 54232  |  1.303% | 40342  |  1.273% | 
 | 122  | Nihilego           |  0.77670% | 36998  |  0.889% | 28195  |  0.889% | 
 | 123  | Scolipede          |  0.74075% | 40252  |  0.967% | 29103  |  0.918% | 
 | 124  | Klefki             |  0.72338% | 35665  |  0.857% | 29263  |  0.923% | 
 | 125  | Chandelure         |  0.70457% | 54041  |  1.298% | 39381  |  1.242% | 
 | 126  | Venusaur           |  0.68136% | 38189  |  0.918% | 27842  |  0.878% | 
 | 127  | Mandibuzz          |  0.68068% | 29864  |  0.718% | 23112  |  0.729% | 
 | 128  | Jolteon            |  0.67236% | 51380  |  1.235% | 38486  |  1.214% | 
 | 129  | Torkoal            |  0.67076% | 31834  |  0.765% | 28432  |  0.897% | 
 | 130  | Smeargle           |  0.66461% | 34961  |  0.840% | 31654  |  0.998% | 
 | 131  | Altaria-Mega       |  0.63985% | 35140  |  0.844% | 25135  |  0.793% | 
 | 132  | Mantine            |  0.63625% | 28256  |  0.679% | 21700  |  0.684% | 
 | 133  | Alomomola          |  0.63374% | 23777  |  0.571% | 17938  |  0.566% | 
 | 134  | Crobat             |  0.63114% | 49503  |  1.189% | 36986  |  1.167% | 
 | 135  | Salazzle           |  0.60544% | 42450  |  1.020% | 30981  |  0.977% | 
 | 136  | Druddigon          |  0.60236% | 20287  |  0.487% | 18564  |  0.586% | 
 | 137  | Forretress         |  0.60058% | 39402  |  0.947% | 33538  |  1.058% | 
 | 138  | Diggersby          |  0.59558% | 24509  |  0.589% | 18749  |  0.591% | 
 | 139  | Stakataka          |  0.59249% | 27362  |  0.657% | 20540  |  0.648% | 
 | 140  | Slowbro-Mega       |  0.58956% | 26028  |  0.625% | 19650  |  0.620% | 
 | 141  | Aerodactyl-Mega    |  0.58418% | 35003  |  0.841% | 25700  |  0.811% | 
 | 142  | Donphan            |  0.58291% | 29944  |  0.719% | 24785  |  0.782% | 
 | 143  | Whimsicott         |  0.57138% | 29468  |  0.708% | 22507  |  0.710% | 
 | 144  | Talonflame         |  0.55111% | 43498  |  1.045% | 31619  |  0.997% | 
 | 145  | Sharpedo-Mega      |  0.55092% | 25802  |  0.620% | 17528  |  0.553% | 
 | 146  | Incineroar         |  0.54731% | 37026  |  0.890% | 29664  |  0.936% | 
 | 147  | Pidgeot-Mega       |  0.54224% | 30353  |  0.729% | 22749  |  0.718% | 
 | 148  | Sylveon            |  0.53826% | 43455  |  1.044% | 29882  |  0.943% | 
 | 149  | Lucario            |  0.53742% | 45654  |  1.097% | 31979  |  1.009% | 
 | 150  | Swampert           |  0.53739% | 33587  |  0.807% | 27638  |  0.872% | 
 | 151  | Empoleon           |  0.53594% | 36924  |  0.887% | 28963  |  0.914% | 
 | 152  | Pyukumuku          |  0.53464% | 20604  |  0.495% | 15220  |  0.480% | 
 | 153  | Sceptile-Mega      |  0.51767% | 42517  |  1.022% | 30132  |  0.950% | 
 | 154  | Aggron-Mega        |  0.48692% | 31452  |  0.756% | 25025  |  0.789% | 
 | 155  | Terrakion          |  0.48261% | 19667  |  0.473% | 14015  |  0.442% | 
 | 156  | Rotom-Heat         |  0.48068% | 28399  |  0.682% | 23088  |  0.728% | 
 | 157  | Krookodile         |  0.45641% | 36671  |  0.881% | 27523  |  0.868% | 
 | 158  | Primarina          |  0.41184% | 27644  |  0.664% | 20711  |  0.653% | 
 | 159  | Politoed           |  0.40899% | 26566  |  0.638% | 22773  |  0.718% | 
 | 160  | Moltres            |  0.40502% | 16836  |  0.405% | 12783  |  0.403% | 
 | 161  | Haxorus            |  0.40157% | 31445  |  0.756% | 20808  |  0.656% | 
 | 162  | Houndoom-Mega      |  0.38850% | 20683  |  0.497% | 15012  |  0.474% | 
 | 163  | Zoroark            |  0.38707% | 28485  |  0.684% | 13264  |  0.418% | 
 | 164  | Cofagrigus         |  0.37511% | 23377  |  0.562% | 18105  |  0.571% | 
 | 165  | Slurpuff           |  0.37295% | 21761  |  0.523% | 16003  |  0.505% | 
 | 166  | Necrozma           |  0.37217% | 14932  |  0.359% | 10753  |  0.339% | 
 | 167  | Camerupt-Mega      |  0.37100% | 14457  |  0.347% | 11435  |  0.361% | 
